ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"DE0005664809","EVT","EVOTEC SE  INH O.N.","Common stock","EUR",2504963,2020-02-13,08:00,26.2,26.2,25.65,25.9,35005,96
"DE000A161408","HFG","HELLOFRESH SE  INH O.N.","Common stock","EUR",2759535,2020-02-13,08:00,23.65,23.65,23.65,23.65,2096,2
"DE000NWRK013","NWO","NEW WORK SE  NA O.N.","Common stock","EUR",4273745,2020-02-13,08:00,294,295,294,294,37,5
"US0552625057","BASA","BASF SPONS. ADR 1/4","Common stock","EUR",2506440,2020-02-13,08:00,15.7,15.7,15.7,15.7,29,1
"DE0005190037","BMW3","BAY.MOTOREN WERKE  VZO","Common stock","EUR",2504901,2020-02-13,08:00,52.4,52.4,52.1,52.2,1251,4
"DE0006048408","HEN","HENKEL AG+CO.KGAA ST O.N.","Common stock","EUR",2505003,2020-02-13,08:00,84.1,84.15,84.05,84.05,387,6
"DE000A2NBX80","INS","INSTONE REAL EST.GRP O.N.","Common stock","EUR",3422276,2020-02-13,08:00,25.15,25.15,25.1,25.1,1012,2
"DE0005810055","DB1","DEUTSCHE BOERSE NA O.N.","Common stock","EUR",2504978,2020-02-13,08:00,153.25,153.35,153.2,153.2,6529,21
"DE0006969603","PUM","PUMA SE","Common stock","EUR",2505067,2020-02-13,08:00,71.9,72.05,71.6,72.05,4900,10
"DE0005089031","UTDI","UTD.INTERNET AG NA","Common stock","EUR",2504878,2020-02-13,08:00,31,31,30.94,30.97,993,6
"DE000A13SX22","HLE","HELLA GMBH+CO. KGAA O.N.","Common stock","EUR",2504580,2020-02-13,08:00,44.22,44.24,44.22,44.24,405,3
"DE0005111702","ZO1","ZOOPLUS AG","Common stock","EUR",2504885,2020-02-13,08:00,90.5,90.5,90.5,90.5,108,1
"DE000LED4000","OSR","OSRAM LICHT AG NA O.N.","Common stock","EUR",2504813,2020-02-13,08:00,47.56,47.7,47.56,47.7,650,5
"DE0005419105","COK","CANCOM SE O.N.","Common stock","EUR",2504930,2020-02-13,08:00,54.2,54.2,54.2,54.2,865,3
